CambioComercial
0.8451
0.8388
0.8874
0.9055
0.8954
0.912
0.9268
0.94
0.9508
0.9587
0.9624
0.9673
0.9735
0.9801
0.9853
0.9894
0.9945
1.0005
1.0061
1.0126
1.0185
1.0243
1.0296
1.0365
1.0421
1.0485
1.0559
1.0601
1.0675
1.0738
1.0799
1.0871
1.0928
1.0993
1.1065
1.1128
1.1191
1.1263
1.1329
1.1404
1.1473
1.1538
1.1607
1.1709
1.1801
1.1876
1.1929
1.2046
1.5011
1.9129
1.896
1.6933
1.6827
1.7646
1.7995
1.88
1.8973
1.9687
1.9291
1.842
1.8029
1.7745
1.7412
1.7674
1.8271
1.8075
1.797
1.8084
1.8384
1.8788
1.9472
1.9625
1.9537
2.0011
2.0882
2.1917
2.2964
2.375
2.4652
2.5098
2.6709
2.7394
2.5423
2.3619
2.3771
2.4188
2.3458
2.3196
2.4796
2.7132
2.9338
3.1093
3.3412
3.8051
3.5756
3.6251
3.4376
3.59
3.4461
3.1179
2.9549
2.8824
2.879
3.0017
2.922
2.8607
2.913
2.9245
2.851
2.9295
2.9047
2.9052
3.0996
3.1283
3.036
3.0021
2.8903
2.8521
2.7852
2.7174
2.6922
2.597
2.7039
2.5784
2.452
2.4127
2.3727
2.3598
2.2936
2.2557
2.21
2.2847
2.2731
2.1611
2.1512
2.1285
2.1773
2.2475
2.1885
2.1551
2.1679
2.1475
2.1571
2.1491
2.1377
2.0955
2.0879
2.0312
1.9808
1.9311
1.882
1.9652
1.8988
1.8002
1.7691
1.7852
1.7735
1.7269
1.7068
1.6881
1.6597
1.6181
1.5906
1.6115
